entity,agency,event_date,rating,action,evidence_id,source_publication_date,source_reference,notes
Australia,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Australia,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Australia,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Australia,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Australia,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Australia,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
Canada,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Canada,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Canada,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Canada,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Canada,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Canada,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
Denmark,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Denmark,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Denmark,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Denmark,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Denmark,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Denmark,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
Germany,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Germany,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Germany,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Germany,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Germany,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Germany,S&P,2026-04-24,AAA,affirmation,SPG-DE-2026-04-24,2026-04-24,Germany AAA/A-1+ affirmation,Explicit dated action
Singapore,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Singapore,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Singapore,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Singapore,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Singapore,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Singapore,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
Sweden,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Sweden,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Sweden,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Sweden,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Sweden,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Sweden,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
Switzerland,S&P,2020-12-31,AAA,snapshot,SPG-SOV-2020-LIST,,S&P Sovereign Ratings List,Published list snapshot
Switzerland,S&P,2022-12-31,AAA,snapshot,SPG-SOV-2022-LIST,,S&P Sovereign Ratings List,Published list snapshot
Switzerland,S&P,2023-12-31,AAA,snapshot,SPG-SOV-2023-LIST,,S&P Sovereign Ratings List,Published list snapshot
Switzerland,S&P,2024-12-31,AAA,snapshot,SPG-SOV-2024-LIST,,S&P Sovereign Ratings List,Published list snapshot
Switzerland,S&P,2025-12-31,AAA,snapshot,SPG-SOV-2025-LIST,,S&P Sovereign Ratings List,Published list snapshot
Switzerland,S&P,2026-08-24,AAA,snapshot,SPG-SOV-2026-SNAPSHOT,2026-08-24,S&P Sovereign Ratings List,Current retrieval snapshot
